route_id,service_id,trip_id,direction_id,block_id,shape_id
FLEX,Summer_Mon-Sun,FLEX_Summer_Mon-Sun_In13,1,,Shp_FLEX_Summer_In
FLEX,Summer_Mon-Sun,FLEX_Summer_Mon-Sun_In14,1,,Shp_FLEX_Summer_In-Marconi
FLEX,Summer_Mon-Sun,FLEX_Summer_Mon-Sun_In15,1,,Shp_FLEX_Summer_In-Marconi
Villager,Summer_Mon-Fri,Villager_Summer_Mon-Fri_Out1,0,,Shp_Villager_Summer_Out
Villager,Summer_Mon-Sun,Villager_Summer_Mon-Sun_Out2,0,,Shp_Villager_Summer_Out
Villager,Summer_Mon-Sun,Villager_Summer_Mon-Sun_Out3,0,,Shp_Villager_Summer_Out
Villager,Summer_Mon-Sun,Villager_Summer_Mon-Sun_Out4,0,,Shp_Villager_Summer_Out
Villager,Summer_Mon-Sun,Villager_Summer_Mon-Sun_Out5,0,,Shp_Villager_Summer_Out
Villager,Summer_Mon-Sun,Villager_Summer_Mon-Sun_Out6,0,,Shp_Villager_Summer_Out
Villager,Summer_Mon-Sun,Villager_Summer_Mon-Sun_Out7,0,,Shp_Villager_Summer_Out
Villager,Summer_Mon-Sun,Villager_Summer_Mon-Sun_Out8,0,,Shp_Villager_Summer_Out
Villager,Summer_Mon-Sun,Villager_Summer_Mon-Sun_Out9,0,,Shp_Villager_Summer_Out
Villager,Summer_Mon-Sun,Villager_Summer_Mon-Sun_Out10,0,,Shp_Villager_Summer_Out
Villager,Summer_Mon-Sun,Villager_Summer_Mon-Sun_Out11,0,,Shp_Villager_Summer_Out
Villager,Summer_Mon-Sun,Villager_Summer_Mon-Sun_Out12,0,,Shp_Villager_Summer_Out
Villager,Summer_Mon-Sun,Villager_Summer_Mon-Sun_Out13,0,,Shp_Villager_Summer_Out
Villager,Summer_Mon-Fri,Villager_Summer_Mon-Fri_Out14,0,,Shp_Villager_Summer_Out_Eve
Villager,Summer_Mon-Fri,Villager_Summer_Mon-Fri_In1,1,,Shp_Villager_Summer_In
Villager,Summer_Mon-Sun,Villager_Summer_Mon-Sun_In2,1,,Shp_Villager_Summer_In
Villager,Summer_Mon-Sun,Villager_Summer_Mon-Sun_In3,1,,Shp_Villager_Summer_In
Villager,Summer_Mon-Sun,Villager_Summer_Mon-Sun_In4,1,,Shp_Villager_Summer_In
Villager,Summer_Mon-Sun,Villager_Summer_Mon-Sun_In5,1,,Shp_Villager_Summer_In
Villager,Summer_Mon-Sun,Villager_Summer_Mon-Sun_In6,1,,Shp_Villager_Summer_In
Villager,Summer_Mon-Sun,Villager_Summer_Mon-Sun_In7,1,,Shp_Villager_Summer_In
Villager,Summer_Mon-Sun,Villager_Summer_Mon-Sun_In8,1,,Shp_Villager_Summer_In
Villager,Summer_Mon-Sun,Villager_Summer_Mon-Sun_In9,1,,Shp_Villager_Summer_In
Villager,Summer_Mon-Sun,Villager_Summer_Mon-Sun_In10,1,,Shp_Villager_Summer_In
Villager,Summer_Mon-Sun,Villager_Summer_Mon-Sun_In11,1,,Shp_Villager_Summer_In
WHOOSH,Summer_Sun-Thu,WHOOSH_Summer_Sun-Thu_Out,0,,Shp_WHOOSH_Summer_Out
