trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
H2O_Summer_Mon-Sun_Out6,12:13:00,12:13:00,DennisMunicipal,8,0,0
H2O_Summer_Mon-Sun_Out6,12:19:00,12:19:00,StarMarketHarwich,9,0,0
H2O_Summer_Mon-Sun_Out6,12:21:00,12:21:00,28Harwich,10,0,0
H2O_Summer_Mon-Sun_Out6,12:27:00,12:27:00,MortonSChatham,11,0,0
H2O_Summer_Mon-Sun_Out6,12:37:00,12:37:00,AnchorageChatham,12,0,0
H2O_Summer_Mon-Sun_Out6,12:40:00,12:40:00,ChathamRotary,13,0,0
H2O_Summer_Mon-Sun_Out6,12:54:00,12:54:00,39SOrleans,14,0,0
H2O_Summer_Mon-Sun_Out6,13:03:00,13:03:00,MainOrleansCVSMobil,15,0,0
H2O_Summer_Mon-Sun_Out6,13:07:00,13:07:00,SkaketCorners,16,0,0
H2O_Summer_Mon-Sun_Out6,13:09:00,13:09:00,OldColonyVillage,17,0,0
H2O_Summer_Mon-Sun_Out6,13:20:00,13:20:00,S&SOrleans,18,0,0
H2O_Summer_Mon-Sun_Out7,12:30:00,12:30:00,HTC,1,0,0
H2O_Summer_Mon-Sun_Out7,12:36:00,12:36:00,CCHospitalBayviewSt,2,0,0
H2O_Summer_Mon-Sun_Out7,12:45:00,12:45:00,CrowellWYarmouth,3,0,0
H2O_Summer_Mon-Sun_Out7,12:52:00,12:52:00,S&SSYarmouth,4,0,0
H2O_Summer_Mon-Sun_Out7,12:56:00,12:56:00,ShawsSYarmouth,5,0,0
H2O_Summer_Mon-Sun_Out7,12:59:00,12:59:00,MainSYarmouth,6,0,0
H2O_Summer_Mon-Sun_Out7,13:09:00,13:09:00,PatriotSq,7,0,0
H2O_Summer_Mon-Sun_Out7,13:13:00,13:13:00,DennisMunicipal,8,0,0
H2O_Summer_Mon-Sun_Out7,13:19:00,13:19:00,StarMarketHarwich,9,0,0
H2O_Summer_Mon-Sun_Out7,13:21:00,13:21:00,28Harwich,10,0,0
H2O_Summer_Mon-Sun_Out7,13:27:00,13:27:00,MortonSChatham,11,0,0
H2O_Summer_Mon-Sun_Out7,13:37:00,13:37:00,AnchorageChatham,12,0,0
H2O_Summer_Mon-Sun_Out7,13:40:00,13:40:00,ChathamRotary,13,0,0
H2O_Summer_Mon-Sun_Out7,13:54:00,13:54:00,39SOrleans,14,0,0
H2O_Summer_Mon-Sun_Out7,14:03:00,14:03:00,MainOrleansCVSMobil,15,0,0
H2O_Summer_Mon-Sun_Out7,14:07:00,14:07:00,SkaketCorners,16,0,0
H2O_Summer_Mon-Sun_Out7,14:09:00,14:09:00,OldColonyVillage,17,0,0
H2O_Summer_Mon-Sun_Out7,14:20:00,14:20:00,S&SOrleans,18,0,0
H2O_Summer_Mon-Sun_Out8,13:30:00,13:30:00,HTC,1,0,0
H2O_Summer_Mon-Sun_Out8,13:36:00,13:36:00,CCHospitalBayviewSt,2,0,0
H2O_Summer_Mon-Sun_Out8,13:45:00,13:45:00,CrowellWYarmouth,3,0,0
H2O_Summer_Mon-Sun_Out8,13:52:00,13:52:00,S&SSYarmouth,4,0,0
H2O_Summer_Mon-Sun_Out8,13:56:00,13:56:00,ShawsSYarmouth,5,0,0
H2O_Summer_Mon-Sun_Out8,13:59:00,13:59:00,MainSYarmouth,6,0,0
